vote_id,vote_date,vote_category,bill_id,impact_tag,reason_code,sponsor_party,source_url,notes
h-119-1-233,2025-09-03,AMENDMENT,hr-4553-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll233.xml,
h-119-1-234,2025-09-03,AMENDMENT,hr-4553-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll234.xml,
h-119-1-235,2025-09-04,AMENDMENT,hr-4553-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll235.xml,
h-119-1-236,2025-09-04,AMENDMENT,hr-4553-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll236.xml,
h-119-1-237,2025-09-04,AMENDMENT,hr-4553-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll237.xml,
h-119-1-238,2025-09-04,MOTION_TO_RECOMMIT,hr-4553-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll238.xml,
h-119-1-239,2025-09-04,PASSAGE,hr-4553-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll239.xml,
s-119-1-501,2025-09-04,CLOTURE,pn-150-4-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00501.xml,
s-119-1-502,2025-09-04,CLOTURE,pn-346-1-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00502.xml,
s-119-1-503,2025-09-04,PROCEDURAL,s-2296-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00503.xml,
h-119-1-240,2025-09-08,SUSPENSION,hr-3424-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll240.xml,
h-119-1-241,2025-09-08,SUSPENSION,hr-3425-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll241.xml,
s-119-1-504,2025-09-08,NOMINATION,pn-346-1-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00504.xml,
h-119-1-242,2025-09-09,PROCEDURAL,hres-682-119,FEDERAL_CONTRACTING,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll242.xml,
h-119-1-243,2025-09-09,PASSAGE,hres-682-119,FEDERAL_CONTRACTING,RULE_RESOLUTION,,https://clerk.house.gov/evs/2025/roll243.xml,
s-119-1-505,2025-09-09,NOMINATION,pn-150-4-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00505.xml,
s-119-1-506,2025-09-09,CLOTURE,pn-129-10-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00506.xml,
s-119-1-507,2025-09-09,NOMINATION,pn-129-10-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00507.xml,
s-119-1-508,2025-09-09,CLOTURE,pn-346-3-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00508.xml,
